ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600519.SH,20150320,194.2,194.99,190.88,193.15,195.28,-2.13,-1.09,51373.71,991294.9
600519.SH,20150319,198.54,198.99,194.06,195.28,199.45,-4.17,-2.09,33539.77,658535.489
600519.SH,20150318,196.8,199.99,195.52,199.45,196.77,2.68,1.36,39304.46,778884.998
600519.SH,20150317,194.99,198.69,194.89,196.77,193.76,3.01,1.55,45904.08,903712.736
600519.SH,20150316,190.06,194.5,187.01,193.76,189.91,3.85,2.03,31160.97,597313.674
600519.SH,20150313,192.7,193.9,188.58,189.91,192.75,-2.84,-1.47,25479.27,486997.365
600519.SH,20150312,193.0,195.99,191.4,192.75,191.98,0.77,0.4,38496.4,747203.168
600519.SH,20150311,187.83,193.0,187.8,191.98,187.83,4.15,2.21,40583.39,778418.696
600519.SH,20150310,190.94,191.5,187.28,187.83,191.56,-3.73,-1.95,29637.06,561292.473
600519.SH,20150309,185.8,192.99,183.8,191.56,183.62,7.94,4.32,43486.03,815432.195
600519.SH,20150306,185.35,186.48,183.27,183.62,185.52,-1.9,-1.02,25470.66,471454.744
600519.SH,20150305,185.01,187.03,184.05,185.52,187.19,-1.67,-0.89,36206.24,670609.773
600519.SH,20150304,186.99,188.01,184.6,187.19,185.95,1.24,0.67,40662.23,757815.044
600519.SH,20150303,189.3,192.0,185.16,185.95,190.73,-4.78,-2.51,42999.6,812905.777
600519.SH,20150302,190.8,193.8,189.0,190.73,191.05,-0.32,-0.17,31098.7,592027.084
600519.SH,20150227,186.9,194.5,186.8,191.05,186.64,4.41,2.36,63370.94,1217723.178
600519.SH,20150226,183.8,188.39,183.55,186.64,183.96,2.68,1.46,62297.72,1163369.598
600519.SH,20150225,183.0,185.7,181.11,183.96,182.22,1.74,0.95,59935.12,1104113.268
600519.SH,20150217,183.55,183.89,181.91,182.22,183.31,-1.09,-0.59,34172.55,624854.087
600519.SH,20150216,182.54,183.63,181.22,183.31,182.49,0.82,0.45,39521.08,722512.103
600519.SH,20150213,184.11,184.5,181.4,182.49,183.57,-1.08,-0.59,40127.05,734977.407
600519.SH,20150212,183.99,184.49,182.01,183.57,183.15,0.42,0.23,25050.98,458818.631
600519.SH,20150211,182.4,184.25,182.08,183.15,182.88,0.27,0.15,22894.79,420358.857
600519.SH,20150210,184.8,185.2,181.45,182.88,184.3,-1.42,-0.77,53638.87,984795.852
600519.SH,20150209,175.77,185.1,175.0,184.3,174.6,9.7,5.56,87293.58,1584342.294
600519.SH,20150206,174.64,176.5,173.6,174.6,174.05,0.55,0.32,37102.38,648205.629
600519.SH,20150205,178.97,180.9,174.0,174.05,177.25,-3.2,-1.81,41239.62,735861.121
600519.SH,20150204,179.15,182.08,177.0,177.25,178.37,-1.12,-0.63,35293.71,634135.328
600519.SH,20150203,177.48,178.65,176.2,178.37,174.82,3.55,2.03,27792.8,493512.567
600519.SH,20150202,175.51,176.4,173.5,174.82,177.18,-2.36,-1.33,33983.36,593379.653
600519.SH,20150130,176.99,181.0,176.5,177.18,176.15,1.03,0.58,47508.34,848744.494
600519.SH,20150129,176.2,178.0,175.0,176.15,177.47,-1.32,-0.74,32492.54,571553.419
600519.SH,20150128,179.0,180.4,177.3,177.47,180.11,-2.64,-1.47,30680.66,547979.157
600519.SH,20150127,182.82,182.82,178.0,180.11,182.8,-2.69,-1.47,41883.62,755025.862
600519.SH,20150126,181.7,183.5,181.05,182.8,181.02,1.78,0.98,35649.06,650642.102
600519.SH,20150123,180.12,183.28,180.11,181.02,181.23,-0.21,-0.12,33084.55,600627.336
600519.SH,20150122,182.37,184.36,180.0,181.23,182.36,-1.13,-0.62,38254.81,696541.254
600519.SH,20150121,178.27,182.9,177.2,182.36,178.08,4.28,2.4,52674.74,950750.407
600519.SH,20150120,176.02,180.5,173.0,178.08,175.48,2.6,1.48,61022.74,1086018.454
600519.SH,20150119,181.0,183.2,171.47,175.48,186.11,-10.63,-5.71,64679.37,1151544.267
600519.SH,20150116,186.2,188.0,185.98,186.11,186.07,0.04,0.02,39978.06,746304.289
600519.SH,20150115,183.89,186.4,182.48,186.07,183.18,2.89,1.58,48585.52,895503.097
600519.SH,20150114,185.0,186.5,180.88,183.18,184.88,-1.7,-0.92,52403.44,965036.184
600519.SH,20150113,187.0,188.54,184.6,184.88,186.43,-1.55,-0.83,36708.08,683429.624
600519.SH,20150112,190.0,192.59,184.46,186.43,190.31,-3.88,-2.04,49914.59,934643.414
600519.SH,20150109,190.4,195.77,190.11,190.31,191.76,-1.45,-0.76,53982.2,1039955.153
600519.SH,20150108,194.0,194.52,190.14,191.76,192.94,-1.18,-0.61,40525.3,777874.67
600519.SH,20150107,196.04,199.5,189.99,192.94,197.83,-4.89,-2.47,54797.84,1063925.641
600519.SH,20150106,200.0,202.56,196.02,197.83,202.52,-4.69,-2.32,55020.01,1094977.375
600519.SH,20150105,189.62,204.24,188.69,202.52,189.62,12.9,6.8,94515.17,1875063.136
